id	categoria	nome	dir	repo	run	desc

# =========================
# Wi-Fi / Wireless (100–199)
# =========================
101	wireless	create_ap	create_ap	https://github.com/oblique/create_ap.git	./create_ap --help	Cria ponto de acesso Wi-Fi para labs e testes controlados.
102	wireless	Aircrack-ng	aircrack-ng	https://github.com/aircrack-ng/aircrack-ng.git	-	Suite clássica para auditoria Wi-Fi (captura, análise, ataques).
103	wireless	Airgeddon	airgeddon	https://github.com/v1s1t0r1sh3r3/airgeddon.git	bash ./airgeddon.sh	Framework bash com menu para auditoria Wi-Fi.
104	wireless	Wifite	wifite	https://github.com/derv82/wifite.git	wifite -h	Automação de auditoria Wi-Fi (recon + ataques comuns).
105	wireless	Bully	bully	https://github.com/aanarchyy/bully.git	-	Auditoria WPS (PIN brute force em ambiente autorizado).
106	wireless	Reaver	reaver	https://github.com/inoryy/reaver.git	reaver -h	Auditoria WPS contra pontos de acesso.
107	wireless	PixieWPS	pixiewps	https://github.com/wiire-a/pixiewps.git	pixiewps -h	Ataque Pixie Dust contra WPS (somente autorizado).
108	wireless	Fern WiFi Cracker	fern-wifi-cracker	https://github.com/savio-code/fern-wifi-cracker.git	-	GUI para auditoria/cracking Wi-Fi.
109	wireless	Fluxion	fluxion	https://github.com/FluxionNetwork/fluxion.git	-	Framework WPA/WPA2 baseado em engenharia social.
110	wireless	Kismet	kismet	https://github.com/kismetwireless/kismet.git	kismet --help	Detector/sniffer wireless passivo.
111	wireless	GISKismet	giskismet	https://github.com/xtr4nge/giskismet.git	-	Integra Kismet com GIS/DB para mapeamento.
112	wireless	Ghost Phisher	ghost-phisher	https://github.com/savio-code/ghost-phisher.git	-	Criação de AP falso / MITM em lab.
113	wireless	airpwn-ng	airpwn-ng	https://github.com/ICSec/airpwn-ng.git	-	Injeção/substituição de tráfego Wi-Fi.
114	wireless	aphopper	aphopper	https://github.com/BlackArch/aphopper.git	bash ./aphopper.sh	Channel hopping automático.
115	wireless	Airoscript	airoscript	https://github.com/patrickhno/Airoscript.git	bash ./airoscript.sh	Automação de fluxos com aircrack-ng.
116	wireless	Airopy	airopy	https://github.com/Josue87/Airopy.git	python3 -m airopy	Toolkit Python para automação Wi-Fi.
117	wireless	Auto_EAP	auto_eap	https://github.com/Tylous/Auto_EAP.git	-	Automação de testes EAP/802.1X.
118	wireless	eaphammer	eaphammer	https://github.com/s0lst1c3/eaphammer.git	-	Framework para ataques EAP (evil twin).
119	wireless	eapmd5pass	eapmd5pass	https://github.com/joswr1ght/eapmd5pass.git	-	Testes EAP-MD5.
120	wireless	cowpatty	cowpatty	https://github.com/roobixx/cowpatty.git	cowpatty -h	Ataques de dicionário WPA.
121	wireless	crackle	crackle	https://github.com/mikeryan/crackle.git	-	Auditoria WPA/WPA2.
122	wireless	mdk3	mdk3	https://github.com/wi-fi-analyzer/mdk3-master.git	-	Toolkit de testes 802.11 (flood/DoS).
123	wireless	Wifi-Honey	wifi-honey	https://github.com/samothrakes/wifi-honey.git	-	Honeypot Wi-Fi.
124	wireless	Wifitap	wifitap	https://github.com/GDSSecurity/wifitap.git	-	Captura/relay de tráfego Wi-Fi.
